contact_id,first_name,last_name,email,phone,company_name,website,category,location,seo_score,overall_score,recommended_service,priority,tags,sms_template,email_subject_template,email_body_template,score_reasons,source
35,Shannon,.,,+61390419783,Shannon Clinic Melbourne Chiropractic and Sports Care,https://shannonclinic.com.au/,chiropractic,Melbourne,55,60,AI Voice,medium,chiropractic;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi Shannon, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Shannon Clinic Melbourne Chiropractic and Sports Care,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
36,Port,.,info@lifechiropracticportmelbourne.com.au,+61396461414,Port Melbourne Chiropractic (previously Life Chiropractic Port Melbourne),https://portmelbournechiropractic.com.au/,chiropractic,Melbourne,25,75,AI Voice,high,chiropractic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Port, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Port Melbourne Chiropractic (previously Life Chiropractic Port Melbourne),\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
37,Melbourne,.,,+61393021023,The Melbourne Chiropractor,http://www.themelbournechiropractor.com.au/,chiropractic,Melbourne,25,55,AI Voice,medium,chiropractic;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi The, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi The Melbourne Chiropractor,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Phone found (+10),marvelus_lead_scraper
38,Back,.,,+61396968822,Back In Line Chiropractic,https://www.backinline.com.au/,chiropractic,Melbourne,70,40,AI Voice,low,chiropractic;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Back, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Back In Line Chiropractic,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
39,Adaptive,.,care@adaptchiro.com.au,+61394458975,Adaptive Chiropractic Melbourne CBD,https://www.melbournecbdchiro.com.au/,chiropractic,Melbourne,50,100,AI Voice,high,chiropractic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Adaptive, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Adaptive Chiropractic Melbourne CBD,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
40,Complete,.,info@completecityhealth.com.au,+611300894846,Complete City Health Chiropractor Melbourne City,https://cchmelbourne.com.au/,chiropractic,Melbourne,25,100,AI Voice,high,chiropractic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Complete, I help chiropractic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for chiropractic in Melbourne, VIC, Australia (24/7 booking)","Hi Complete City Health Chiropractor Melbourne City,\n\nI help chiropractic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | Low-tech website | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
41,Gordon,.,admin@sonargroup.com.au,+611300584626,Gordon Legal Melbourne,https://www.gordonlegal.com.au/,law firm,Melbourne,60,60,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Gordon, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Gordon Legal Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Phone found (+10),marvelus_lead_scraper
42,Maurice,.,donotreply@mauriceblackburn.com.au,+61396052700,Maurice Blackburn Personal Injury Lawyers Melbourne,https://www.mauriceblackburn.com.au/our-offices/vic/melbourne/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button&utm_term=plcid_4752754200758419732,law firm,Melbourne,35,75,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Maurice, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Maurice Blackburn Personal Injury Lawyers Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
43,Doogue,.,,+61396705111,Doogue + George Defence Lawyers,https://www.criminal-lawyers.com.au/locations/melbourne-criminal-lawyers,law firm,Melbourne,50,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi Doogue, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Doogue + George Defence Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
44,Lord,.,info@lordlaw.com.au,+61396000162,Lord Commercial Lawyers,https://www.lordlaw.com.au/?utm_source=Google&utm_medium=GMB&utm_campaign=GMB,law firm,Melbourne,55,80,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Lord, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Lord Commercial Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
45,EAS,.,britt@easlegal.com.au,+611800117533,EAS Legal Melbourne,https://easlegal.com.au/,law firm,Melbourne,55,60,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi EAS, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi EAS Legal Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
46,Aston,.,,+61383918411,Aston Legal Group,https://astonlegalgroup.com.au/,law firm,Melbourne,80,60,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone,"Hi Aston, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Aston Legal Group,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Phone found (+10),marvelus_lead_scraper
47,DCM,.,info@dcmlawyers.com,+61396700001,DCM Lawyers,https://www.dcmlawyers.com/,law firm,Melbourne,35,75,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi DCM, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi DCM Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
48,Dribbin,.,,+61386447320,Dribbin & Brown Criminal Lawyers,https://www.criminalsolicitorsmelbourne.com.au/,law firm,Melbourne,50,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi Dribbin, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Dribbin & Brown Criminal Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
49,TNS,.,info@tnslawyers.com.au,+61390523214,TNS Lawyers,https://www.tnslawyers.com.au/,law firm,Melbourne,50,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi TNS, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi TNS Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
50,Hicks,.,,+61396297411,Hicks Oakley Chessell Williams Lawyers - Melbourne CBD,https://www.hocw.com.au/,law firm,Melbourne,55,40,AI Voice,low,law_firm;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Hicks, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Hicks Oakley Chessell Williams Lawyers - Melbourne CBD,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
51,Sense,.,bookings@sos-senseofself.com,+61399175412,Sense Of Self (SOS),http://www.sos-senseofself.com/,med spa,Melbourne,75,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Sense, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Sense Of Self (SOS),\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
52,Saltair,.,info@saltairspa.com,+61393317774,Saltair Day Spa Port Melbourne,https://www.saltairspa.com.au/,med spa,Melbourne,50,100,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Saltair, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Saltair Day Spa Port Melbourne,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
53,Aurora,.,,+61359351222,Aurora Spa & Bathhouse,https://auroraspa.com.au/,med spa,Melbourne,60,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Aurora, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Aurora Spa & Bathhouse,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
54,Blanc,.,,+61395109122,Blanc Spa,https://blancspa.com.au/,med spa,Melbourne,55,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Blanc, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Blanc Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
55,Kami,.,mkamiheadspa@gmail.com,+61396000046,M Kami Japanese Head Spa,https://www.mkamijapaneseheadspa.com.au/,med spa,Melbourne,70,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi M, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi M Kami Japanese Head Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
56,Orchid,.,orchiddayspa@bigpond.com,+61396704964,Orchid Day Spa,https://www.orchiddayspa.com.au/,med spa,Melbourne,55,70,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Orchid, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi Orchid Day Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
57,Kami,.,mkamiheadspa@gmail.com,+61449717382,M Kami Japanese Head Spa ( CBD ),https://mkamijapaneseheadspa.com.au/,med spa,Melbourne,70,40,AI Voice,low,med_spa;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi M, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi M Kami Japanese Head Spa ( CBD ),\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
58,You,.,info@youdayspa.com.au,+61396547259,You Day Spa,http://www.youdayspa.com.au/,med spa,Melbourne,75,60,AI Voice,medium,med_spa;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi You, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi You Day Spa,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
59,endota,.,southmelbourne@endota.com.au,+61390223331,endota spa South Melbourne,https://endotaspa.com.au/pages/spa/south-melbourne?utm_source=google&utm_medium=organic&utm_campaign=Google+My+Business&utm_content=endota+spa+South+Melbourne&utm_term=plcid_18050842361584499678,med spa,Melbourne,100,70,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi endota, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marv...","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi endota spa South Melbourne,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
60,IOMI,.,relax@iomispa.com.au,+61383837288,IOMI Spa at Sheraton Hotel,https://www.iomispa.com.au/,med spa,Melbourne,45,70,AI Voice,high,med_spa;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi IOMI, I help med spa in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for med spa in Melbourne, VIC, Australia (24/7 booking)","Hi IOMI Spa at Sheraton Hotel,\n\nI help med spa businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
61,Balaclava,.,info@balaclavadentalcare.com.au,+61395277278,Balaclava Dental Care,https://www.balaclavadentalcare.com.au/,dental clinic,Melbourne,45,40,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Balaclava, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your N...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Balaclava Dental Care,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Phone found (+10),marvelus_lead_scraper
62,Melbourne,.,mdc-referrals@unimelb.edu.au,+61390358402,Melbourne Dental Clinic,https://dental.mthc.com.au/,dental clinic,Melbourne,25,85,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Melbourne, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your N...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Melbourne Dental Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
63,Collins,.,,+61396545144,Collins Street Dental,https://www.collinsstreetdental.net.au/?utm_source=gmb&utm_medium=organic,dental clinic,Melbourne,55,10,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Collins, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Collins Street Dental,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Phone found (+10),marvelus_lead_scraper
64,Genesis,.,admin@genesisdentists.au,+1234567890123,Genesis Dentists Melbourne,https://genesisdentists.com.au/,dental clinic,Melbourne,80,60,AI Voice,medium,dental_clinic;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Genesis, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Nam...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Genesis Dentists Melbourne,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
65,South,.,,+61396906388,South Melbourne Dental Group,http://www.southmelbournedental.com.au/,dental clinic,Melbourne,50,100,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi South, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name]...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi South Melbourne Dental Group,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
66,Dental,.,info@dentalonflinders.com.au,+61390410049,Dental On Flinders,https://www.dentalonflinders.com.au/,dental clinic,Melbourne,55,10,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi Dental, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Dental On Flinders,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Phone found (+10),marvelus_lead_scraper
67,City,.,,+61396546979,City Smiles Dental Clinic,https://citysmiles.com.au/,dental clinic,Melbourne,80,70,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi City, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] ...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi City Smiles Dental Clinic,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
68,Melbourne,.,,+61398671252,Melbourne Dentist,https://www.melbournedentist.com/,dental clinic,Melbourne,55,10,AI Voice,low,dental_clinic;AI_Voice;priority_low;marvelus_lead;has_phone,"Hi Melbourne, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your N...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Melbourne Dentist,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Phone found (+10),marvelus_lead_scraper
69,Verve,.,info.city@vervedental.com.au,+61396545881,Verve Dental Melbourne,https://vervedental.com.au/collins-street/,dental clinic,Melbourne,45,70,AI Voice,high,dental_clinic;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Verve, I help dental clinic in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name]...","AI receptionist for dental clinic in Melbourne, VIC, Australia (24/7 booking)","Hi Verve Dental Melbourne,\n\nI help dental clinic businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
